,State,countyFIPS,County Name,Date,Num of Cases,Num of Deaths,population,Num of Cases per day,Num of Death per day
456666,NC,37001,alamance county,2020-08-13,3.7660299906554315e-24,6.161794297137831e-26,169509,1.041636654992355e-25,1.4670938802709083e-27
456667,NC,37001,alamance county,2020-08-14,3.7939047743805784e-24,6.161794297137831e-26,169509,2.7874783725146926e-26,0.0
456668,NC,37001,alamance county,2020-08-15,3.832049215267623e-24,6.161794297137831e-26,169509,3.814444088704428e-26,0.0
456669,NC,37001,alamance county,2020-08-16,3.871660750034937e-24,6.161794297137831e-26,169509,3.9611534767314284e-26,0.0
456670,NC,37001,alamance county,2020-08-17,3.89220006435873e-24,6.161794297137831e-26,169509,2.0539314323793245e-26,0.0
456671,NC,37001,alamance county,2020-08-18,3.9332786930063145e-24,6.161794297137831e-26,169509,4.1078628647584285e-26,0.0
456672,NC,37001,alamance county,2020-08-19,3.9582192889709215e-24,6.455213073192013e-26,169509,2.4940595964606923e-26,2.9341877605418167e-27
456673,NC,37001,alamance county,2020-08-20,3.999297917618505e-24,6.455213073192013e-26,169509,4.107862864758355e-26,0.0
456674,NC,37001,alamance county,2020-08-21,4.087323550434761e-24,6.455213073192013e-26,169509,8.802563281625592e-26,0.0
456675,NC,37001,alamance county,2020-08-22,4.163612432208848e-24,6.455213073192013e-26,169509,7.62888817740871e-26,0.0
456676,NC,37001,alamance county,2020-08-23,4.219361999659141e-24,6.455213073192013e-26,169509,5.574956745029312e-26,0.0
456677,NC,37001,alamance county,2020-08-24,4.285381224271335e-24,6.455213073192013e-26,169509,6.601922461219415e-26,0.0
456678,NC,37001,alamance county,2020-08-25,4.300052163074043e-24,6.455213073192013e-26,169509,1.4670938802707361e-26,0.0
456679,NC,37001,alamance county,2020-08-26,4.335262416200544e-24,6.455213073192013e-26,169509,3.521025312650134e-26,0.0
456680,NC,37001,alamance county,2020-08-27,4.418886767375987e-24,6.455213073192013e-26,169509,8.362435117544298e-26,0.0
456681,NC,37001,alamance county,2020-08-28,4.44089317558005e-24,6.601922461219101e-26,169509,2.2006408204063246e-26,1.4670938802708854e-27
456682,NC,37001,alamance county,2020-08-29,4.512780775713325e-24,6.748631849246194e-26,169509,7.188760013327489e-26,1.4670938802709313e-27
456683,NC,37001,alamance county,2020-08-30,4.547991028839828e-24,6.748631849246194e-26,169509,3.521025312650281e-26,0.0
456684,NC,37001,alamance county,2020-08-31,4.7079042617893565e-24,6.748631849246194e-26,169509,1.599132329495286e-25,0.0
456685,NC,37001,alamance county,2020-09-01,4.757785453718569e-24,6.748631849246194e-26,169509,4.9881191929212376e-26,0.0
456686,NC,37001,alamance county,2020-09-02,4.781258955802902e-24,6.748631849246194e-26,169509,2.3473502084333248e-26,0.0
456687,NC,37001,alamance county,2020-09-03,4.832607241612385e-24,6.748631849246194e-26,169509,5.134828580948311e-26,0.0
456688,NC,37001,alamance county,2020-09-04,4.832607241612385e-24,6.748631849246194e-26,169509,0.0,0.0
456689,NC,37001,alamance county,2020-09-05,4.957310221435411e-24,6.748631849246194e-26,169509,1.247029798230258e-25,0.0
